year,label,source_file,lst_count,lst_mean,lst_std,lst_min,lst_p05,lst_p25,lst_p50,lst_p75,lst_p95,lst_max,anom_count,anom_mean,anom_std,anom_min,anom_p05,anom_p25,anom_p50,anom_p75,anom_p95,anom_max,z_count,z_mean,z_std,z_min,z_p05,z_p25,z_p50,z_p75,z_p95,z_max
2013,summer,Bologna_LST_2013_summer_median_30m.tif,324656,40.20267105102539,4.136347770690918,28.44750213623047,32.57305145263672,37.361698150634766,40.72502899169922,43.30221939086914,46.13917541503906,56.20866012573242,324656,0.4325960576534271,1.6779651641845703,-9.94350814819336,-2.3834877014160156,-0.3627967834472656,0.3501014709472656,1.2479476928710938,3.326284408569336,8.209346771240234,324656,0.18032141029834747,0.5814383625984192,-2.454379081726074,-0.8004664182662964,-0.1705186665058136,0.16728413105010986,0.5458487272262573,1.1440742015838623,2.7095415592193604
2014,summer,Bologna_LST_2014_summer_median_30m.tif,324651,34.426002502441406,3.7205872535705566,24.84832763671875,28.233877182006836,31.711711883544922,34.487144470214844,37.1292724609375,40.33708572387695,51.93613815307617,324651,-5.344107627868652,1.559847116470337,-14.034391403198242,-8.484079360961914,-5.932710647583008,-5.114826202392578,-4.424076080322266,-3.340383529663086,3.007740020751953,324651,-2.2711336612701416,0.5057302713394165,-3.4835753440856934,-2.933745861053467,-2.641047954559326,-2.3508100509643555,-1.993037462234497,-1.3238704204559326,2.495633363723755
2015,summer,Bologna_LST_2015_summer_median_30m.tif,324656,40.095970153808594,4.409956932067871,29.40113067626953,32.614070892333984,36.684932708740234,40.42082595825195,43.48337173461914,46.809104919433594,56.22916793823242,324656,0.32589587569236755,1.5043197870254517,-7.663936614990234,-2.239654541015625,-0.4882926940917969,0.38477325439453125,1.2317047119140625,2.5760889053344727,8.939346313476562,324656,0.16805315017700195,0.552879273891449,-1.9828462600708008,-0.7579758167266846,-0.21272602677345276,0.17684510350227356,0.5707850456237793,1.0291258096694946,2.6712958812713623
2016,summer,Bologna_LST_2016_summer_median_30m.tif,324656,38.60125732421875,4.134664058685303,27.51780128479004,31.870649337768555,35.594581604003906,38.581932067871094,41.56415557861328,45.331241607666016,57.042659759521484,324656,-1.1688140630722046,1.5908279418945312,-9.608055114746094,-4.236056327819824,-1.9525423049926758,-0.9319000244140625,-0.14380264282226562,0.9477663040161133,8.018543243408203,324656,-0.43312180042266846,0.5352310538291931,-2.6206042766571045,-1.3075807094573975,-0.8040074110031128,-0.4302159547805786,-0.0677105262875557,0.4355783462524414,2.0657906532287598
2017,summer,Bologna_LST_2017_summer_median_30m.tif,324656,41.570152282714844,3.4311838150024414,30.221454620361328,34.914398193359375,39.511634826660156,42.12812805175781,43.99265670776367,46.37160110473633,57.244319915771484,324656,1.8000781536102295,1.8498191833496094,-6.694923400878906,-0.9489860534667969,0.32629966735839844,1.7822513580322266,3.0803680419921875,4.9038848876953125,8.856208801269531,324656,0.7276826500892639,0.7343771457672119,-2.2590811252593994,-0.44589850306510925,0.15094202756881714,0.7481467723846436,1.2799636125564575,1.8997344970703125,3.1358284950256348
2018,summer,Bologna_LST_2018_summer_median_30m.tif,324656,41.45405960083008,4.815866947174072,29.503671646118164,33.62238693237305,37.61804962158203,41.67865753173828,45.23681640625,48.887264251708984,63.020774841308594,324656,1.6839839220046997,2.018540143966675,-8.529060363769531,-1.6332340240478516,0.5419998168945312,1.6884422302246094,2.9056787490844727,4.77061653137207,11.773609161376953,324656,0.753271222114563,0.7597960829734802,-2.589489698410034,-0.5714741945266724,0.23282381892204285,0.7790333032608032,1.342916488647461,1.898558497428894,3.0729992389678955
2019,summer,Bologna_LST_2019_summer_median_30m.tif,324647,38.73766326904297,4.009801864624023,23.99382209777832,31.803998947143555,35.77061080932617,39.104888916015625,41.76069259643555,44.75487518310547,54.29286193847656,324647,-1.0323235988616943,1.310379147529602,-8.622928619384766,-3.382585048675537,-1.5663070678710938,-0.9201812744140625,-0.38147735595703125,0.8390033841133118,6.537452697753906,324647,-0.4284433424472809,0.43636608123779297,-2.6766061782836914,-1.1364171504974365,-0.6894828081130981,-0.4375619888305664,-0.17664867639541626,0.3092663884162903,1.7407923936843872
2020,summer,Bologna_LST_2020_summer_median_30m.tif,324555,39.12938690185547,4.31772518157959,27.801496505737305,31.499794006347656,36.00389099121094,39.537269592285156,42.37422561645508,45.61963653564453,54.56801223754883,324555,-0.6388370990753174,1.5334761142730713,-8.461185455322266,-3.230030059814453,-1.3468208312988281,-0.5409011840820312,0.084228515625,1.7402966022491455,8.1951904296875,324555,-0.26656508445739746,0.5386607646942139,-2.6268692016601562,-1.1653553247451782,-0.6023428440093994,-0.25439074635505676,0.03785715252161026,0.6576756238937378,2.230257987976074
2021,summer,Bologna_LST_2021_summer_median_30m.tif,324652,42.2716064453125,4.182863235473633,25.70625114440918,34.570884704589844,39.511634826660156,42.93136215209961,45.25048828125,48.30790710449219,56.57609939575195,324652,2.5015742778778076,2.019521474838257,-9.184463500976562,-0.7968864440917969,1.2520618438720703,2.4689064025878906,3.7372398376464844,5.826013565063477,10.877723693847656,324652,1.0343101024627686,0.7256870269775391,-2.8552603721618652,-0.3306378126144409,0.6003659963607788,1.1203973293304443,1.5626071691513062,2.063258409500122,2.88073992729187
2022,summer,Bologna_LST_2022_summer_median_30m.tif,324656,41.327144622802734,4.43961763381958,28.5739688873291,33.59503936767578,38.10682678222656,41.67353057861328,44.70189666748047,48.07035446166992,57.36737060546875,324656,1.5570741891860962,1.9038175344467163,-6.362033843994141,-1.5050573348999023,0.4183387756347656,1.5711898803710938,2.6271142959594727,4.735295295715332,11.717952728271484,324656,0.642130434513092,0.7106632590293884,-2.2316999435424805,-0.612707793712616,0.18830406665802002,0.7107292413711548,1.1611093282699585,1.6883296966552734,3.1217949390411377
