path,count,mean,std,min,p05,p25,p50,p75,p95,max
gee_lst\Bologna_LST_2013_summer_mean_30m.tif,156437,40.59285354614258,3.5944387912750244,30.160614013671875,33.77961349487305,38.319427490234375,41.157752990722656,43.12379837036133,45.673641204833984,54.60697555541992
gee_lst\Bologna_LST_2013_summer_median_30m.tif,156437,40.71629333496094,3.9589157104492188,29.578866958618164,33.208805084228516,38.08290100097656,41.353946685791016,43.647438049316406,46.22120666503906,55.347320556640625
gee_lst\Bologna_LST_2013_summer_validObsCount_30m.tif,156437,4.998331546783447,0.04219812899827957,3.0,5.0,5.0,5.0,5.0,5.0,5.0
gee_lst\Bologna_LST_2014_summer_mean_30m.tif,156437,34.99509048461914,3.7487728595733643,25.51347541809082,28.5124454498291,32.27482986450195,35.20561218261719,37.7385368347168,40.749813079833984,50.42742156982422
gee_lst\Bologna_LST_2014_summer_median_30m.tif,156437,34.90305709838867,3.6881158351898193,25.948930740356445,28.638912200927734,32.14238357543945,35.116058349609375,37.67273712158203,40.52336883544922,50.10749435424805
gee_lst\Bologna_LST_2014_summer_validObsCount_30m.tif,156437,4.69394063949585,0.4982064962387085,1.0,4.0,4.0,5.0,5.0,5.0,5.0
gee_lst\Bologna_LST_2015_summer_mean_30m.tif,156437,39.69786071777344,3.8799099922180176,28.985271453857422,32.47502136230469,37.11149978637695,40.3463134765625,42.4710693359375,45.16913986206055,53.745635986328125
gee_lst\Bologna_LST_2015_summer_median_30m.tif,156437,40.82763671875,4.388464450836182,30.583765029907227,33.03448486328125,37.50525665283203,41.52826690673828,44.14646911621094,47.13587188720703,55.911293029785156
gee_lst\Bologna_LST_2015_summer_validObsCount_30m.tif,156437,4.850955963134766,0.5345021486282349,2.0,4.0,5.0,5.0,5.0,6.0,6.0
gee_lst\Bologna_LST_2016_summer_mean_30m.tif,156437,38.807071685791016,3.849858045578003,28.37059783935547,32.26064682006836,35.971248626708984,38.98936080932617,41.704864501953125,44.72990417480469,54.93647384643555
gee_lst\Bologna_LST_2016_summer_median_30m.tif,156437,39.416500091552734,4.137624263763428,28.88330078125,32.46709442138672,36.2918586730957,39.573158264160156,42.562217712402344,45.80762481689453,57.042659759521484
gee_lst\Bologna_LST_2016_summer_validObsCount_30m.tif,156437,5.336148262023926,0.4852333664894104,3.0,5.0,5.0,5.0,6.0,6.0,6.0
gee_lst\Bologna_LST_2017_summer_mean_30m.tif,156437,41.39481735229492,3.151341199874878,31.52543067932129,35.26905059814453,39.581703186035156,41.86459732055664,43.544898986816406,45.852745056152344,54.28688049316406
gee_lst\Bologna_LST_2017_summer_median_30m.tif,156437,41.63840866088867,3.2373569011688232,31.315221786499023,35.34506607055664,39.73380661010742,42.11958312988281,43.89524459838867,46.23829650878906,54.61073684692383
gee_lst\Bologna_LST_2017_summer_validObsCount_30m.tif,156437,4.799836158752441,0.4444741904735565,2.0,4.0,5.0,5.0,5.0,5.0,6.0
gee_lst\Bologna_LST_2018_summer_mean_30m.tif,156437,43.03886032104492,4.4840168952941895,30.237689971923828,35.09190368652344,39.58455276489258,43.90606689453125,46.373878479003906,49.31223678588867,63.020774841308594
gee_lst\Bologna_LST_2018_summer_median_30m.tif,156437,42.578147888183594,4.689153671264648,30.952911376953125,34.456382751464844,38.88613510131836,43.230438232421875,46.20411682128906,49.35552978515625,63.020774841308594
gee_lst\Bologna_LST_2018_summer_validObsCount_30m.tif,156437,3.0346977710723877,0.1935381144285202,1.0,3.0,3.0,3.0,3.0,3.0,4.0
gee_lst\Bologna_LST_2019_summer_mean_30m.tif,156428,38.5372200012207,3.676441192626953,27.994274139404297,31.7807559967041,36.0299072265625,39.09668731689453,41.099647521972656,43.875762939453125,52.36338806152344
gee_lst\Bologna_LST_2019_summer_median_30m.tif,156428,39.4744987487793,3.867253541946411,28.929443359375,32.42266082763672,36.691768646240234,40.13713073730469,42.33833694458008,44.966793060302734,53.556278228759766
