year,valid_pixel_count,none_count,structural_count,anomalous_count,both_count
2013,343107,304722,16224,25565,3404
2014,343107,326867,16228,12,0
2015,343107,314781,16227,16918,4819
2016,343107,326192,16233,1339,657
2017,343107,207817,16200,126148,7058
2018,343107,212854,16227,129932,15906
2019,343107,326355,16206,948,402
2020,343107,322905,16212,6087,2097
2021,343107,156675,16228,182569,12365
2022,343107,229805,16210,109757,12665
2023,343107,307122,16222,27785,8022
2024,343107,320231,16232,7483,839
2025,343107,318899,16228,12177,4197
