year,valid_pixel_count,none_count,structural_count,anomalous_count,both_count
2013,324656,286458,16224,25448,3474
2014,324651,308410,16228,13,0
2015,324656,295246,16227,18536,5353
2016,324656,307776,16233,1428,781
2017,324656,191838,16200,123773,7155
2018,324656,195424,16227,128932,15927
2019,324647,307933,16206,907,399
2020,324555,304583,16212,5868,2108
2021,324652,138078,16228,182872,12526
2022,324656,211525,16210,109861,12940
2023,324653,288533,16222,28098,8200
2024,324656,302957,16232,6244,777
2025,324656,300969,16228,11616,4157
2026,324656,282489,16217,32123,6173
